city,lat,lng,country,iso3
Kabul,34.5253,69.1783,Afghanistan,AFG
Kandahar,31.62,65.7158,Afghanistan,AFG
Herat,34.3419,62.2031,Afghanistan,AFG
Farah,32.3436,62.1194,Afghanistan,AFG
Mazar-e Sharif,36.7,67.1167,Afghanistan,AFG
Lashkar Gah,31.5831,64.3692,Afghanistan,AFG
Kunduz,36.7286,68.8681,Afghanistan,AFG
Jalalabad,34.4342,70.4478,Afghanistan,AFG
Taluqan,36.7167,69.5167,Afghanistan,AFG
Shibirghan,36.665,65.752,Afghanistan,AFG
Zaranj,30.96,61.86,Afghanistan,AFG
Khost,33.3331,69.9169,Afghanistan,AFG
Maimanah,35.9333,64.75,Afghanistan,AFG
Mehtar Lam,34.6683,70.2089,Afghanistan,AFG
Ghazni,33.5492,68.4233,Afghanistan,AFG
Paghman,34.5833,68.95,Afghanistan,AFG
Pul-e Khumri,35.95,68.7,Afghanistan,AFG
Bamyan,34.825,67.8333,Afghanistan,AFG
Charikar,35.0131,69.1689,Afghanistan,AFG
Tarin Kot,32.6267,65.8733,Afghanistan,AFG
Gardez,33.6,69.2169,Afghanistan,AFG
Faizabad,37.1166,70.58,Afghanistan,AFG
Qal`ah-ye Now,34.9867,63.1292,Afghanistan,AFG
Sar-e Pul,36.2214,65.9278,Afghanistan,AFG
Mahmud-e Raqi,35.0206,69.3306,Afghanistan,AFG
Asadabad,34.8742,71.1528,Afghanistan,AFG
Maidan Shahr,34.3972,68.8697,Afghanistan,AFG
Bazarak,35.3128,69.5158,Afghanistan,AFG
Pul-e `Alam,33.9808,69.035,Afghanistan,AFG
Fayroz Koh,34.5225,65.2517,Afghanistan,AFG
Qalat,32.1061,66.9069,Afghanistan,AFG
Aibak,36.2653,68.0167,Afghanistan,AFG
Parun,35.4167,70.9169,Afghanistan,AFG
Sharan,33.1757,68.7304,Afghanistan,AFG
Nili,33.7218,66.1302,Afghanistan,AFG
Balkh,36.7581,66.8981,Afghanistan,AFG
Baghlan,36.1328,68.7,Afghanistan,AFG
Bazar-e Yakawlang,34.7333,66.9667,Afghanistan,AFG
Ghoriyan,34.34,61.47,Afghanistan,AFG
Haskah Menah,34.1,70.4667,Afghanistan,AFG
Aqchah,36.9114,66.1858,Afghanistan,AFG
Gudarah,34.8169,69.0878,Afghanistan,AFG
Andkhoy,36.95,65.1167,Afghanistan,AFG
Kotah-ye `Ashro,34.4492,68.7939,Afghanistan,AFG
Bagrami,34.4911,69.2756,Afghanistan,AFG
Bala Koh,36.5753,66.8203,Afghanistan,AFG
Khulm,36.6833,67.6833,Afghanistan,AFG
Khanabad,36.6831,69.1636,Afghanistan,AFG
Hukumati Baghran,33.0669,65.0917,Afghanistan,AFG
Sheghnan,37.6167,71.45,Afghanistan,AFG
Baraki Barak,33.9692,68.9447,Afghanistan,AFG
Sangin,32.0733,64.8339,Afghanistan,AFG
Qal`ah-ye Zal,37.015,68.4672,Afghanistan,AFG
Karukh,34.4922,62.5922,Afghanistan,AFG
Kushk,33.2956,61.9522,Afghanistan,AFG
Qarqin,37.4128,66.0472,Afghanistan,AFG
Islam Qal`ah,34.6667,61.0667,Afghanistan,AFG
Zarah Sharan,33.13,68.78,Afghanistan,AFG
Baraki,33.9333,68.9167,Afghanistan,AFG
Taywarah,33.51,64.42,Afghanistan,AFG
Zarghun Shahr,32.85,68.4167,Afghanistan,AFG
Kuhsan,34.65,61.1667,Afghanistan,AFG
Hukumati Gizab,33.3813,66.2655,Afghanistan,AFG
Panjab,34.3833,67.0167,Afghanistan,AFG
Imam Sahib,37.1844,68.9144,Afghanistan,AFG
Mama Khel,34.25,70.01,Afghanistan,AFG
Tujg,32.0686,61.8058,Afghanistan,AFG
Deh-e Shu,30.4344,63.3183,Afghanistan,AFG
Chichkah,37.0706,69.2983,Afghanistan,AFG
Tirana,41.3289,19.8178,Albania,ALB
Vlore,40.4667,19.4833,Albania,ALB
Kamez,41.3833,19.7667,Albania,ALB
Fier,40.725,19.5572,Albania,ALB
Durres,41.3111,19.4392,Albania,ALB
Shkoder,42.0681,19.5119,Albania,ALB
Elbasan,41.1111,20.0806,Albania,ALB
Korce,40.6167,20.7667,Albania,ALB
Berat,40.7,19.95,Albania,ALB
Gjirokaster,40.0667,20.1333,Albania,ALB
Lezhe,41.7819,19.6444,Albania,ALB
Kukes,42.0833,20.4167,Albania,ALB
Peshkopi,41.6833,20.4281,Albania,ALB
Sarande,39.875,20.01,Albania,ALB
Lushnje,40.9333,19.7,Albania,ALB
Kavaje,41.1842,19.5619,Albania,ALB
Pogradec,40.9,20.65,Albania,ALB
Fushe-Kruje,41.4833,19.7167,Albania,ALB
Lac,41.6353,19.7131,Albania,ALB
Sukth,41.3833,19.5333,Albania,ALB
